method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,S,S_9,4,4,16860.2,4.862,GRASP_warmup,16077.247,724.289,3601.192,3001.192,False,True,True,19,160,50,2175,experiments/GRASP/results_ils_v2/Ale_9_run04.json,
ILS_v2,S,S_9,5,5,17271.129,92.66,GRASP_warmup,16388.529,2170.992,3600.804,3000.804,False,True,True,19,160,50,2114,experiments/GRASP/results_ils_v2/Ale_9_run05.json,
ILS_v2,S,S_9,6,6,16629.629,363.367,GRASP_warmup,15881.834,3127.273,3600.89,3000.89,False,True,True,19,160,50,2139,experiments/GRASP/results_ils_v2/Ale_9_run06.json,
ILS_v2,S,S_9,7,7,16056.147,18.899,GRASP_warmup,16056.147,18.899,3600.523,3000.523,False,True,True,19,160,50,2142,experiments/GRASP/results_ils_v2/Ale_9_run07.json,
ILS_v2,S,S_9,8,8,15980.098,76.654,GRASP_warmup,15946.148,735.432,3600.714,3000.714,False,True,True,19,160,50,2169,experiments/GRASP/results_ils_v2/Ale_9_run08.json,
ILS_v2,S,S_9,9,9,17764.371,565.547,GRASP_warmup,16002.942,1984.113,3600.924,3000.924,False,True,True,19,160,50,2213,experiments/GRASP/results_ils_v2/Ale_9_run09.json,
ILS_v2,S,S_9,10,10,16166.364,332.264,GRASP_warmup,16140.364,723.706,3600.816,3000.816,False,True,True,19,160,50,2117,experiments/GRASP/results_ils_v2/Ale_9_run10.json,
ILS_v2,2X,IncT2X_10,1,1,13252.546,58.371,GRASP_warmup,11240.278,2907.563,3605.256,3005.256,False,True,True,38,160,50,292,experiments/GRASP/results_ils_v2/IncT2X_10_run01.json,
ILS_v2,2X,IncT2X_10,2,2,12764.828,413.986,GRASP_warmup,10443.157,3573.541,3604.296,3004.296,False,True,True,38,160,50,291,experiments/GRASP/results_ils_v2/IncT2X_10_run02.json,
ILS_v2,2X,IncT2X_10,3,3,12240.501,571.163,GRASP_warmup,10038.565,3274.55,3600.547,3000.547,False,True,True,38,160,50,307,experiments/GRASP/results_ils_v2/IncT2X_10_run03.json,
ILS_v2,2X,IncT2X_10,4,4,13035.504,61.265,GRASP_warmup,9772.03,3441.649,3605.929,3005.929,False,True,True,38,160,50,295,experiments/GRASP/results_ils_v2/IncT2X_10_run04.json,
ILS_v2,2X,IncT2X_10,5,5,12970.345,321.675,GRASP_warmup,8862.78,3337.298,3602.028,3002.028,False,True,True,38,160,50,293,experiments/GRASP/results_ils_v2/IncT2X_10_run05.json,
ILS_v2,2X,IncT2X_10,6,6,13348.745,5.816,GRASP_warmup,9564.205,3257.612,3601.284,3001.284,False,True,True,38,160,50,287,experiments/GRASP/results_ils_v2/IncT2X_10_run06.json,
ILS_v2,2X,IncT2X_10,7,7,12504.809,258.443,GRASP_warmup,10960.784,3398.846,3603.579,3003.579,False,True,True,38,160,50,306,experiments/GRASP/results_ils_v2/IncT2X_10_run07.json,
ILS_v2,2X,IncT2X_10,8,8,12278.381,50.671,GRASP_warmup,10509.304,3228.956,3608.452,3008.452,False,True,True,38,160,50,304,experiments/GRASP/results_ils_v2/IncT2X_10_run08.json,
ILS_v2,2X,IncT2X_10,9,9,12595.782,487.651,GRASP_warmup,10526.569,3438.517,3605.076,3005.076,False,True,True,38,160,50,301,experiments/GRASP/results_ils_v2/IncT2X_10_run09.json,
ILS_v2,2X,IncT2X_10,10,10,11568.743,497.035,GRASP_warmup,10120.79,3380.717,3602.05,3002.05,False,True,True,38,160,50,298,experiments/GRASP/results_ils_v2/IncT2X_10_run10.json,
ILS_v2,2X,IncT2X_1,1,1,44905.309,221.854,GRASP_warmup,42278.155,3055.493,3606.708,3006.708,False,True,True,38,160,50,319,experiments/GRASP/results_ils_v2/IncT2X_1_run01.json,
ILS_v2,2X,IncT2X_1,2,2,43176.912,225.195,GRASP_warmup,42520.324,3496.571,3601.514,3001.514,False,True,True,38,160,50,293,experiments/GRASP/results_ils_v2/IncT2X_1_run02.json,
ILS_v2,2X,IncT2X_1,3,3,50225.354,140.781,GRASP_warmup,44079.813,3545.629,3603.837,3003.837,False,True,True,38,160,50,292,experiments/GRASP/results_ils_v2/IncT2X_1_run03.json,
ILS_v2,2X,IncT2X_1,4,4,46245.184,341.932,GRASP_warmup,44293.816,2786.397,3604.524,3004.524,False,True,True,38,160,50,293,experiments/GRASP/results_ils_v2/IncT2X_1_run04.json,
